row,Hospital,year1,year2,year3,year4,
2275,Hospital Operating Margins,-3.91%,-5.69%,-1.41%,-5.79%,
2276,Hospital Non Operating Margins,6.85%,5.98%,-4.88%,1.51%,
2277,Hospital Total Margins,2.94%,0.29%,-6.29%,-4.27%,
2278,COST DATA SUMMARY,,,,,
2279,Ratio of cost to charges,0.37,0.39,0.38,0.40,
2280,Private Payment to Cost Ratio,1.18,1.11,1.14,1.07,
2281,Medicare Payment to Cost Ratio,0.79,0.73,0.79,0.75,
2282,Medicaid Payment to Cost Ratio,0.65,0.51,0.52,0.53,
2283,LIQUIDITY MEASURES SUMMARY,,,,,
2284,Current Ratio,1.35,1.06,1.07,1.01,
2285,Days cash on hand,27,19,7,6,
2286,Days in patients accounts receivable,54,34,49,49,
2287,Average Payment Period,67,69,72,72,
2288,SOLVENCY MEASURES SUMMARY,,,,,
2289,Equity financing ratio,69.9,65.3,58.1,47.9,
2290,Cash flow to total debt ratio,33.9,23.0,-5.5,1.8,
2291,Long-term debt to Capitalization Ratio,7.6,7.0,6.9,6.8,
2292,* Financial Measures noted in green indicate a favorable variance from the statewide average.,,,,,
2293,Financial Measures noted in red indicate an unfavorable variance from the statewide average.,,,,,
2294,NET ASSETS SUMMARY,,,,,
2295,Hospital Unrestricted Net Assets,"$61,624,073","$57,291,329","$47,584,605","$36,805,806",
2296,Hospital Total Net Assets,"$62,167,138","$58,447,019","$48,780,238","$38,098,899",
2297,UTILIZATION MEASURES SUMMARY,,,,,
2298,Patient Days,"22,101","22,304","21,629","20,370",
2299,Discharges,"4,919","5,026","4,935","4,800",
2300,ALOS,4.5,4.4,4.4,4.2,
2301,Staffed Beds,64,65,61,59,
2302,Available Beds,118,118,118,118,
2303,Licensed Beds,118,118,118,118,
2304,Occupancy of staffed beds,95%,94%,97%,95%,
2305,Occupancy of available beds,51%,52%,50%,47%,
2306,Full Time Equivalent Employees,542.0,561.0,560.0,547.9,74
2308,KEY RESULTS - MILFORD HOSPITAL,,,,,
2310,DISCHARGES,2006,2007,2008,2009,
2311,Non-Government (Including Uninsured),"2,033","2,062","1,879","1,930",
2312,Medicare,"2,534","2,498","2,632","2,423",
2313,Medical Assistance,344,455,416,444,
2314,Medicaid,344,446,414,417,
2315,Other Medical Assistance,0,9,2,27,
2316,Champus / TRICARE,8,11,8,3,
2317,Uninsured (Included in Non-Government),102,89,116,99,
2318,Total Discharges,"4,919","5,026","4,935","4,800",
2319,CASE MIX INDEX,,,,,
2320,Non-Government (Including Uninsured),0.9507,1.0073,1.0575,1.0647,
2321,Medicare,1.3214,1.3851,1.453,1.5705,
2322,Medical Assistance,0.794,0.8326,0.9175,0.8458,
2323,Medicaid,0.794,0.8351,0.9179,0.8235,
2324,Other Medical Assistance,,0.7119,0.8272,1.1909,
2325,Champus / TRICARE,0.6449,0.8822,0.9599,0.519,
2326,Uninsured (Included in Non-Government),0.9893,1.0627,1.0417,1.1172,
2327,Total Case Mix Index,1.1302,1.179,1.2565,1.2994,
2328,UNCOMPENSATED CARE,,,,,
2329,Charity Care,"$270,302","$241,390","$165,221","$122,057",
2330,Bad Debts,"$3,279,600","$4,686,521","$4,873,574","$6,998,451",
2331,Total Uncompensated Care Charges,"$3,549,902","$4,927,911","$5,038,795","$7,120,508",
2332,Uncompensated Care Cost,"$1,316,851","$1,928,821","$1,928,106","$2,865,432",
2333,Uncompensated care % of total expenses,1.9%,2.3%,2.3%,3.2%,
2334,EMERGENCY DEPARTMENT VISITS,,,,,
2335,Emergency Room - Treated and Admitted,"3,233","3,160","3,138","3,033",
2336,Emergency Room - Treated and Discharged,"27,005","34,373","35,844","36,913",
2337,Total Emergency Room Visits,"30,238","37,533","38,982","39,946",
2339,75,,,,,
2341,NEW MILFORD HOSPITAL,,,,,
2343,"New Milford Hospital, founded in 1921, is located in New Milford.  In FY 2009, the Hospital",,,,,
2344,"experienced a $5.5 million loss from operations and realized a $361,000 non-operating gain,",,,,,
2345,"resulting in a deficiency of revenues over expenses of $5.1 million.  The Hospital reported 2,774",,,,,
2346,"discharges and 9,874 patient days while staffing 32 of its 95 available beds.  Reported below is a",,,,,
2347,"chart indicating all of the affiliates of New Milford Hospital Incorporated, followed by various",,,,,
2348,financial indicators and selected utilization measures.,,,,,
2350,NEW MILFORD,,,,,
2351,"HOSPITAL, INC.",,,,,
2353,New Milford Hospital,,,New Milford Visiting,,
2354,Foundation,,,"Nurse Association, Inc.",,
2356,Hospital Gross Revenue Payer Mix,,,Hospital Net Revenue Payer Mix,,
2357,Medicaid,,Medical,Medicaid,,
2358,4%,Uninsured,Assistance,3%,,
2359,Medical,2%,0%,,Uninsured,
2360,Assistance,,,,0%,
2361,1%,,,,,
2367,Medicare,,,,66%,
2368,45%,,,,,
2369,HOSPITAL STATEMENT OF OPERATIONS SUMMARY,,2006,2007,2008,2009
2370,Net Patient Revenue,,"$78,752,090","$84,051,521","$88,824,490","$89,326,362"
2371,Other Operating Revenue,,"$3,385,370","$3,602,031","$5,548,110","$3,899,680"
2372,Total Operating Revenue,,"$82,137,460","$87,653,552","$94,372,600","$93,226,042"
2373,Total Operating Expenses,,"$83,676,337","$87,234,032","$95,880,966","$98,752,754"
2374,Income/(Loss) from Operations,,"-$1,538,877","$419,520","-$1,508,366","-$5,526,712"
2375,Non Operating Revenue,,"-$436,129","$501,009","$357,421","$361,642"
2376,Excess/(Deficiency) of Revenue over Expenses,,"-$1,975,006","$920,529","-$1,150,945","-$5,165,070"
2378,*Source: Hospital Audited Financial Statements,76,,,,
2380,KEY RESULTS - NEW MILFORD HOSPITAL,,,,,
2382,PROFITABILITY SUMMARY,2006,2007,2008,2009,
2383,Hospital Operating Margins,-1.88%,0.48%,-1.59%,-5.91%,
2384,Hospital Non Operating Margins,-0.53%,0.57%,0.38%,0.39%,
2385,Hospital Total Margins,-2.42%,1.04%,-1.21%,-5.52%,
2386,COST DATA SUMMARY,,,,,
2387,Ratio of cost to charges,0.44,0.42,0.42,0.42,
2388,Private Payment to Cost Ratio,1.23,1.28,1.21,1.19,
2389,Medicare Payment to Cost Ratio,0.70,0.64,0.70,0.61,
2390,Medicaid Payment to Cost Ratio,0.75,0.74,0.74,0.69,
2391,LIQUIDITY MEASURES SUMMARY,,,,,
2392,Current Ratio,1.32,1.43,1.43,1.28,
2393,Days cash on hand,10,17,11,11,
2394,Days in patients accounts receivable,49,36,40,35,
2395,Average Payment Period,59,58,61,61,
2396,SOLVENCY MEASURES SUMMARY,,,,,
2397,Equity financing ratio,68.8,66.0,58.7,34.1,
2398,Cash flow to total debt ratio,11.8,24.6,15.6,-0.9,
2399,Long-term debt to Capitalization Ratio,16.5,18.2,17.4,24.1,
2400,* Financial Measures noted in green indicate a favorable variance from the statewide average.,,,,,
2401,Financial Measures noted in red indicate an unfavorable variance from the statewide average.,,,,,
2402,NET ASSETS SUMMARY,,,,,
2403,Hospital Unrestricted Net Assets,"$46,718,045","$37,372,385","$29,244,007","$13,080,008",
2404,Hospital Total Net Assets,"$56,149,492","$47,477,655","$43,564,881","$23,768,402",
2405,UTILIZATION MEASURES SUMMARY,,,,,
2406,Patient Days,"12,406","11,268","11,785","9,874",
2407,Discharges,"3,161","2,845","3,032","2,774",
2408,ALOS,3.9,4.0,3.9,3.6,
2409,Staffed Beds,72,35,37,32,
2410,Available Beds,95,95,95,95,
2411,Licensed Beds,95,95,95,95,
2412,Occupancy of staffed beds,47%,88%,87%,85%,
2413,Occupancy of available beds,36%,33%,34%,28%,
2414,Full Time Equivalent Employees,496.0,470.3,488.1,488.8,
2415,77,,,,,
2416,KEY RESULTS - NEW MILFORD HOSPITAL,,,,,
2418,DISCHARGES,2006,2007,2008,2009,
2419,Non-Government (Including Uninsured),"1,603","1,437","1,513","1,285",
2420,Medicare,"1,320","1,220","1,290","1,248",
2421,Medical Assistance,233,182,228,235,
2422,Medicaid,193,159,196,208,
2423,Other Medical Assistance,40,23,32,27,
2424,Champus / TRICARE,5,6,1,6,
2425,Uninsured (Included in Non-Government),62,70,82,60,
2426,Total Discharges,"3,161","2,845","3,032","2,774",
2427,CASE MIX INDEX,,,,,
2428,Non-Government (Including Uninsured),1.123,1.088,1.1242,1.1383,
2429,Medicare,1.3922,1.427,1.5251,1.5634,
2430,Medical Assistance,0.7903,0.7578,0.9101,0.7817,
2431,Medicaid,0.7229,0.7184,0.8234,0.753,
2432,Other Medical Assistance,1.1155,1.0303,1.4412,1.0026,
2433,Champus / TRICARE,0.498,0.9888,1.99,0.6283,
2434,Uninsured (Included in Non-Government),1.1168,1.1888,1.0282,1.0884,
2435,Total Case Mix Index,1.2099,1.212,1.279,1.2982,
2436,UNCOMPENSATED CARE,,,,,
2437,Charity Care,"$1,524,994","$2,004,589","$2,581,057","$1,620,381",
2438,Bad Debts,"$3,079,775","$3,451,187","$4,808,441","$4,081,840",
2439,Total Uncompensated Care Charges,"$4,604,769","$5,455,776","$7,389,498","$5,702,221",
2440,Uncompensated Care Cost,"$2,003,285","$2,302,322","$3,093,425","$2,402,227",
2441,Uncompensated care % of total expenses,2.6%,2.7%,3.4%,2.4%,
2442,EMERGENCY DEPARTMENT VISITS,,,,,
2443,Emergency Room - Treated and Admitted,"1,635","1,659","1,794","1,957",
2444,Emergency Room - Treated and Discharged,"16,483","17,650","17,759","17,189",
2445,Total Emergency Room Visits,"18,118","19,309","19,553","19,146",
2447,78,,,,,
2449,NORWALK HOSPITAL,,,,,
2451,"Norwalk Hospital, founded in 1893, is located in Norwalk.   In FY 2009, the Hospital generated",,,,,
2452,"$13.9 million in income from operations and realized a $1.1 million non-operating gain, resulting",,,,,
2453,"in an excess of revenues over expenses of $15 million.  The Hospital reported 15,332 discharges",,,,,
2454,"and 71,363 patient days while staffing 200 of its 322 available beds.  Reported below is a chart",,,,,
2455,"indicating all of the affiliates of Norwalk Health Services Corporation, the parent corporation of",,,,,
2456,"the Hospital, followed by various financial indicators and selected utilization measures.",,,,,
2458,NORWALK,,,,,
2459,HEALTH SERVICES,,,,,
2460,CORPORATION,,,,,
2462,Norwalk Hospital,Norwalk Hospital,Norwalk Health,Advanced Center for,,
2463,Association,"Foundation, Inc.","Care, Inc. (Honey Hill",S.W.C. Corporation,Rehab. Medicine,
2465,Fairfield County,,,Maple Street,,
2466,"Medical Services, Inc.",,,"Indemnity Company,",,
2467,(Physicians Services),,,Ltd,,
2470,Hospital Gross Revenue Payer Mix,,Hospital Net Revenue Payer Mix,,,
2471,Medicaid,,Medicaid,,,
2472,9%,Uninsured,6%,Uninsured,,
2474,Medical,,,,,
2475,Assistance,,,,,
2476,Assistance,,,,,
2477,1%,,,,,
2478,3%,,,,,
2479,Non-,,,,,
2480,Government,,,Non-,,
2481,Medicare,41%,Medicare,Government,,
2482,42%,34%,,58%,,
2483,HOSPITAL STATEMENT OF OPERATIONS SUMMARY,2006,2007,2008,2009,
2484,Net Patient Revenue,"$251,313,162","$277,467,379","$298,446,744","$322,749,162",
2485,Other Operating Revenue,"$14,830,138","$13,639,563","$14,526,110","$12,251,535",
2486,Total Operating Revenue,"$266,143,300","$291,106,942","$312,972,854","$335,000,697",
2487,Total Operating Expenses,"$270,158,545","$288,812,209","$306,099,959","$321,077,894",
2488,Income/(Loss) from Operations,"-$4,015,245","$2,294,733","$6,872,895","$13,922,803",
2489,Non Operating Revenue,"$4,348,741","$3,152,725","$1,391,372","$1,080,679",
2490,Excess/(Deficiency) of Revenue over Expenses,"$333,496","$5,447,458","$8,264,267","$15,003,482",
2492,79,*Source: Hospital Audited Financial Statements,,,,
2494,KEY RESULTS - NORWALK HOSPITAL,,,,,
2496,PROFITABILITY SUMMARY,2006,2007,2008,2009,
2497,Hospital Operating Margins,-1.48%,0.78%,2.19%,4.14%,
2498,Hospital Non Operating Margins,1.61%,1.07%,0.44%,0.32%,
2499,Hospital Total Margins,0.12%,1.85%,2.63%,4.46%,
2500,COST DATA SUMMARY,,,,,
2501,Ratio of cost to charges,0.53,0.50,0.47,0.48,
2502,Private Payment to Cost Ratio,1.34,1.36,1.41,1.31,
2503,Medicare Payment to Cost Ratio,0.83,0.80,0.78,0.74,
2504,Medicaid Payment to Cost Ratio,0.58,0.68,0.65,0.60,
2505,LIQUIDITY MEASURES SUMMARY,,,,,
2506,Current Ratio,1.45,1.65,1.59,2.30,
2507,Days cash on hand,14,15,1,29,
2508,Days in patients accounts receivable,48,47,51,48,
2509,Average Payment Period,53,51,50,42,
2510,SOLVENCY MEASURES SUMMARY,,,,,
2511,Equity financing ratio,68.8,67.9,62.6,55.8,
2512,Cash flow to total debt ratio,29.7,35.7,42.1,63.7,
2513,Long-term debt to Capitalization Ratio,6.7,10.2,10.5,10.5,
2514,* Financial Measures noted in green indicate a favorable variance from the statewide average.,,,,,
2516,NET ASSETS SUMMARY,,,,,
2517,Hospital Unrestricted Net Assets,"$133,790,300","$151,497,278","$139,898,660","$125,849,836",
2518,Hospital Total Net Assets,"$162,148,549","$177,916,606","$164,271,153","$148,919,922",
2519,UTILIZATION MEASURES SUMMARY,,,,,
2520,Patient Days,"80,038","79,445","77,672","71,363",
2521,Discharges,"15,089","15,146","15,301","15,332",
2522,ALOS,5.3,5.2,5.1,4.7,
2523,Staffed Beds,224,221,217,200,
2524,Available Beds,330,330,330,322,
2525,Licensed Beds,366,366,366,366,
2526,Occupancy of staffed beds,98%,98%,98%,98%,
2527,Occupancy of available beds,68%,67%,64%,61%,
2528,Full Time Equivalent Employees,"1,701.0","1,730.0","1,721.4","1,695.3",80
2530,KEY RESULTS - NORWALK HOSPITAL,,,,,
2532,DISCHARGES,2006,2007,2008,2009,
2533,Non-Government (Including Uninsured),"6,796","6,962","7,137","7,052",
2534,Medicare,"6,178","5,907","5,821","5,539",
2535,Medical Assistance,"2,113","2,269","2,335","2,730",
2536,Medicaid,"1,701","1,867","1,992","2,254",
2537,Other Medical Assistance,412,402,343,476,
2538,Champus / TRICARE,2,8,8,11,
2539,Uninsured (Included in Non-Government),525,586,661,527,
2540,Total Discharges,"15,089","15,146","15,301","15,332",
2541,CASE MIX INDEX,,,,,
2542,Non-Government (Including Uninsured),0.96,0.9175,0.9728,0.9718,
2543,Medicare,1.33,1.3814,1.4188,1.4788,
2544,Medical Assistance,0.82,0.8189,0.8196,0.8393,
2545,Medicaid,0.81,0.7854,0.7864,0.7959,
2546,Other Medical Assistance,0.8613,0.9744,1.0124,1.045,
2547,Champus / TRICARE,0.38,0.5624,1.132,0.8913,
2548,Uninsured (Included in Non-Government),0.95,0.9688,1.0269,1.049,
2549,Total Case Mix Index,1.0918,1.0834,1.1192,1.1313,
2550,UNCOMPENSATED CARE,,,,,
2551,Charity Care,"$6,806,210","$9,336,375","$17,183,886","$17,554,000",
2552,Bad Debts,"$13,597,933","$19,226,799","$16,389,312","$21,000,769",
2553,Total Uncompensated Care Charges,"$20,404,143","$28,563,174","$33,573,198","$38,554,769",
2554,Uncompensated Care Cost,"$10,827,274","$14,365,864","$15,740,080","$18,357,526",
2555,Uncompensated care % of total expenses,4.5%,5.4%,5.5%,5.7%,
2556,EMERGENCY DEPARTMENT VISITS,,,,,
2557,Emergency Room - Treated and Admitted,"9,070","8,864","9,181","9,239",
2558,Emergency Room - Treated and Discharged,"37,647","38,859","39,632","40,491",
2559,Total Emergency Room Visits,"46,717","47,723","48,813","49,730",
2561,81,,,,,
2563,ROCKVILLE GENERAL HOSPITAL,,,,,
2565,"Rockville General Hospital, founded in 1921, is located in Vernon.   In FY 2009, the Hospital",,,,,
2566,generated $3.7 million in income from operations and experienced a $2.4 million non-operating,,,,,
2567,"loss, resulting in an excess of revenues over expenses of $1.3 million.  The Hospital reported",,,,,
2568,"3,510 discharges and 15,355 patient days while staffing 66 of its 118 available beds.  Reported",,,,,
2569,"below is a chart indicating all of the affiliates of Eastern Connecticut Health Network, the parent",,,,,
2570,"corporation of the Hospital, and Manchester Memorial Hospital, followed by various financial",,,,,
2571,indicators and selected utilization measures.,,,,,
2573,EASTERN,,,,,
2574,CONNECTICUT,,,,,
2575,"HEALTH NETWORK,",,,,,
2576,INC.,,,,,
2579,Manchester Memorial,Healthcare,ECHN Eldercare,Insurance Company,Rockville General,
2580,Hospital,"Foundation, Inc.","Services, Inc.",(Malpractice,"Hospital, Inc.",
2583,"ECHN Enterprises,",ECHN Health,ECHN Wellness,,ECHN Joint Ventures/,
2584,Inc.(Affiliate Support,"Services, Inc.","Services, Inc., d/b/a",,Investments,
2585,Services),(Outpatient Care),Women’s Center for,,,
2588,Haynes Street,Evergreen,,Evergreen Imaging,"Endoscopy Center,",
2589,"Property Mgt,",Medical,,"Center, LLC",LLC,
2590,LLC,"Associates, LLC",,,,
2591,Haynes Street,Evergreen,,Tolland Imaging,Aetna Ambulance,
2593,Medical,"Associates II,",,,,
2594,"Associates, LLC",LLC,,,,
2596,Northeast Regional,,,,,
2597,Haynes Street,Radiation Oncology,Metro Wheelchair,,,
2598,Medical,"Network, dba","Service, Inc.",,,
2599,"Associates II,",Community Cancer Care,,,,
2600,LLC,,,,,
2606,For Profit Entity,,Health Partners,,,
2607,"Org., Inc.",,,,,
2609,Manchester,,,,,
2610,Physician Hospital,,,,,
2611,Org. Inc. (Inactive),,,,,
2614,Medicaid,,Medicaid,,,
2615,11%,Uninsured,8%,,,
2617,Medical,,Medical,3%,,
2618,Assistance,,Assistance,Non-,,
2619,3%,Non-,1%,,,
2620,Government,Government,,,,
2621,39%,49%,,,,
2623,Medicare,,,,,
2624,Medicare,,,,,
2625,43%,39%,,,,
2627,HOSPITAL STATEMENT OF OPERATIONS SUMMARY,2006,2007,2008,2009,
2628,Net Patient Revenue,"$57,112,262","$59,238,196","$61,803,014","$64,940,252",
2629,Other Operating Revenue,"$8,645,245","$5,861,929","$5,994,161","$5,040,949",
2630,Total Operating Revenue,"$65,757,507","$65,100,125","$67,797,175","$69,981,201",
2631,Total Operating Expenses,"$63,615,219","$64,216,399","$65,930,398","$66,239,259",
2632,Income/(Loss) from Operations,"$2,142,288","$883,726","$1,866,777","$3,741,942",
2633,Non Operating Revenue,"$1,501,434","-$57,629","-$2,816,371","-$2,380,797",
2634,Excess/(Deficiency) of Revenue over Expenses,"$3,643,722","$826,097","-$949,594","$1,361,145",
2635,*Source: Hospital Audited Financial Statements,,,,,82
2637,KEY RESULTS - ROCKVILLE GENERAL HOSPITAL,,,,,
2639,PROFITABILITY SUMMARY,2006,2007,2008,2009,
2640,Hospital Operating Margins,3.19%,1.36%,2.87%,5.54%,
2641,Hospital Non Operating Margins,2.23%,-0.09%,-4.33%,-3.52%,
2642,Hospital Total Margins,5.42%,1.27%,-1.46%,2.01%,
2643,COST DATA SUMMARY,,,,,
2644,Ratio of cost to charges,0.42,0.46,0.45,0.45,
2645,Private Payment to Cost Ratio,1.20,1.18,1.20,1.21,
2646,Medicare Payment to Cost Ratio,0.85,0.83,0.85,0.84,
2647,Medicaid Payment to Cost Ratio,0.75,0.71,0.72,0.74,
2648,LIQUIDITY MEASURES SUMMARY,,,,,
2649,Current Ratio,1.10,1.01,1.70,1.84,
2650,Days cash on hand,19,2,17,35,
2651,Days in patients accounts receivable,56,54,63,56,
2652,Average Payment Period,70,65,105,94,
2653,SOLVENCY MEASURES SUMMARY,,,,,
2654,Equity financing ratio,49.2,52.6,44.5,40.1,
2655,Cash flow to total debt ratio,17.5,11.5,6.9,12.9,
2656,Long-term debt to Capitalization Ratio,38.4,34.9,38.9,40.9,
2657,* Financial Measures noted in green indicate a favorable variance from the statewide average.,,,,,
2658,Financial Measures noted in red indicate an unfavorable variance from the statewide average.,,,,,
2659,NET ASSETS SUMMARY,,,,,
2660,Hospital Unrestricted Net Assets,"$40,149,555","$42,159,714","$36,356,992","$31,533,927",
2661,Hospital Total Net Assets,"$45,642,730","$48,003,762","$41,762,068","$36,462,215",
2662,UTILIZATION MEASURES SUMMARY,,,,,
2663,Patient Days,"14,259","14,828","15,185","15,355",
2664,Discharges,"3,605","3,589","3,539","3,510",
2665,ALOS,4.0,4.1,4.3,4.4,
2666,Staffed Beds,66,66,66,66,
2667,Available Beds,102,102,118,118,
2668,Licensed Beds,118,118,118,118,
2669,Occupancy of staffed beds,59%,62%,63%,64%,
2670,Occupancy of available beds,33%,34%,35%,36%,
2671,Full Time Equivalent Employees,442.0,444.2,443.2,444.0,
2672,83,,,,,
2673,KEY RESULTS - ROCKVILLE GENERAL HOSPITAL,,,,,
2675,DISCHARGES,2006,2007,2008,2009,
2676,Non-Government (Including Uninsured),"1,453","1,336","1,374","1,190",
2677,Medicare,"1,545","1,607","1,600","1,766",
2678,Medical Assistance,591,641,554,546,
2679,Medicaid,509,574,486,458,
2680,Other Medical Assistance,82,67,68,88,
2681,Champus / TRICARE,16,5,11,8,
2682,Uninsured (Included in Non-Government),40,65,64,63,
2683,Total Discharges,"3,605","3,589","3,539","3,510",
2684,CASE MIX INDEX,,,,,
2685,Non-Government (Including Uninsured),0.8392,0.9921,1.0775,1.0268,
2686,Medicare,1.2622,1.4078,1.3948,1.4645,
2687,Medical Assistance,0.6654,0.6738,0.8073,0.8838,
2688,Medicaid,0.611,0.6155,0.7639,0.8055,
2689,Other Medical Assistance,1.0028,1.1732,1.1176,1.2915,
2690,Champus / TRICARE,0.6215,0.7188,0.6177,0.9597,
2691,Uninsured (Included in Non-Government),0.9513,1.1159,1.4731,1.0042,
2692,Total Case Mix Index,0.991,1.121,1.1773,1.2246,
2693,UNCOMPENSATED CARE,,,,,
2694,Charity Care,"$578,251","$600,038","$926,423","$550,997",
2695,Bad Debts,"$2,634,039","$2,653,240","$2,740,855","$3,876,624",
2696,Total Uncompensated Care Charges,"$3,212,290","$3,253,278","$3,667,278","$4,427,621",
2697,Uncompensated Care Cost,"$1,356,123","$1,511,074","$1,632,207","$2,009,230",
2698,Uncompensated care % of total expenses,2.3%,2.5%,2.6%,3.0%,
2699,EMERGENCY DEPARTMENT VISITS,,,,,
2700,Emergency Room - Treated and Admitted,"2,129","2,137","2,245","2,337",
2701,Emergency Room - Treated and Discharged,"12,831","21,510","22,683","23,608",
2702,Total Emergency Room Visits,"14,960","23,647","24,928","25,945",
2704,84,,,,,
2706,SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,,,,,
2708,"Saint Francis Hospital and Medical Center, founded in 1897, is located in Hartford.  In FY 2009,",,,,,
2709,the Hospital generated $16.4 million in income from operations and experienced a $5.7 million,,,,,
2710,"non-operating loss, resulting in an excess of revenues over expenses of $10.7 million.  The",,,,,
2711,"Hospital reported 33,057 discharges and 162,158 patient days while staffing 593 of its 593",,,,,
2712,"available beds.   Reported below is a chart indicating all of the affiliates of Saint Francis Care,",,,,,
2713,"Incorporated, the parent corporation of the Hospital, followed by various financial indicators and",,,,,
2714,selected utilization measures.,,,,,
2716,SAINT FRANCIS,,,,,
2717,"CARE, INC.",,,,,
2719,Saint Francis Hospital,Asylum Hill Family,Saint Francis Care,Saint Francis Hospital,Mount Sinai,St. Francis Medical
2720,and Medical Center,,,,,"Group, Inc."
2721,Foundation Inc.,"Medicine Center, Inc.","Medical Group, P.C.",& Medical Center,Rehabilitation Hospital,(Physicians Services)
2725,(50% Ownership),LLC,,,,
2727,Saint Francis PHO,Saint Francis,,,,
2728,Foundation,Behavioral Health,,,,
2729,"Group, P.C.",,,,,
2731,For Profit Services,,,,,
2732,Saint Francis,,,,,
2733,Indemnity Company,,,,,
2736,Medicaid,,Medicaid,,,
2737,13%,Uninsured,9%,,,
2740,Medical,,,,,
2741,Assistance,,Assistance,,,
2742,5%,,1%,,,
2744,Non-,,,,,
2745,Non-,,,,,
2746,Government,Government,,,,
2749,HOSPITAL STATEMENT OF OPERATIONS SUMMARY,2006,2007,2008,2009,
2750,Net Patient Revenue,"$459,737,041","$501,049,772","$549,018,192","$569,815,727",
2751,Other Operating Revenue,"$30,955,585","$41,196,348","$39,219,480","$38,098,855",
2752,Total Operating Revenue,"$490,692,626","$542,246,120","$588,237,672","$607,914,582",
2753,Total Operating Expenses,"$491,309,862","$533,818,395","$602,971,403","$591,542,174",
2754,Income/(Loss) from Operations,"-$617,236","$8,427,725","-$14,733,731","$16,372,408",
2755,Non Operating Revenue,"$5,358,704","$3,947,548","-$16,993,109","-$5,731,045",
2756,Excess/(Deficiency) of Revenue over Expenses,"$4,741,468","$12,375,273","-$31,726,840","$10,641,363",
2757,85,*Source: Hospital Audited Financial Statements,,,,
2759,KEY RESULTS -  SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,,,,,
2761,PROFITABILITY SUMMARY,2006,2007,2008,2009,
2762,Hospital Operating Margins,-0.12%,1.54%,-2.58%,2.72%,
2763,Hospital Non Operating Margins,1.08%,0.72%,-2.97%,-0.95%,
2764,Hospital Total Margins,0.96%,2.27%,-5.55%,1.77%,
2765,COST DATA SUMMARY,,,,,
2766,Ratio of cost to charges,0.48,0.47,0.47,0.44,
2767,Private Payment to Cost Ratio,1.11,1.06,1.05,1.13,
2768,Medicare Payment to Cost Ratio,1.08,1.07,1.00,1.01,
2769,Medicaid Payment to Cost Ratio,0.72,0.76,0.72,0.71,
2770,LIQUIDITY MEASURES SUMMARY,,,,,
2771,Current Ratio,2.46,2.14,1.21,1.78,
2772,Days cash on hand,20,15,29,53,
2773,Days in patients accounts receivable,54,51,46,40,
2774,Average Payment Period,35,37,71,60,
2775,SOLVENCY MEASURES SUMMARY,,,,,
2776,Equity financing ratio,56.4,54.0,30.8,26.1,
2777,Cash flow to total debt ratio,19.5,24.7,-2.2,10.5,
2778,Long-term debt to Capitalization Ratio,26.0,25.0,52.0,56.7,
2779,* Financial Measures noted in green indicate a favorable variance from the statewide average.,,,,,
2780,Financial Measures noted in red indicate an unfavorable variance from the statewide average.,,,,,
2781,NET ASSETS SUMMARY,,,,,
2782,Hospital Unrestricted Net Assets,"$200,930,692","$193,323,893","$130,256,639","$102,324,980",
2783,Hospital Total Net Assets,"$284,252,138","$285,986,494","$213,026,728","$184,326,469",
2784,UTILIZATION MEASURES SUMMARY,,,,,
2785,Patient Days,"163,199","162,175","164,576","162,158",
2786,Discharges,"31,638","31,626","32,807","33,057",
2787,ALOS,5.2,5.1,5.0,4.9,
2788,Staffed Beds,574,553,572,593,
2789,Available Beds,574,553,584,593,
2790,Licensed Beds,682,682,682,682,
2791,Occupancy of staffed beds,78%,80%,79%,75%,
2792,Occupancy of available beds,78%,80%,77%,75%,
2793,Full Time Equivalent Employees,"3,354.0","3,416.7","3,594.9","3,610.8",86
2795,KEY RESULTS -  SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,,,,,
2797,DISCHARGES,2006,2007,2008,2009,
2798,Non-Government (Including Uninsured),"12,281","12,083","12,302","12,070",
2799,Medicare,"12,968","12,903","14,037","13,748",
2800,Medical Assistance,"6,316","6,570","6,399","7,149",
2801,Medicaid,"4,942","5,091","4,888","5,525",
2802,Other Medical Assistance,"1,374","1,479","1,511","1,624",
2803,Champus / TRICARE,73,70,69,90,
2804,Uninsured (Included in Non-Government),556,528,446,355,
2805,Total Discharges,"31,638","31,626","32,807","33,057",
2806,CASE MIX INDEX,,,,,
2807,Non-Government (Including Uninsured),1.2972,1.2432,1.3402,1.3235,
2808,Medicare,1.7087,1.7584,1.7226,1.7597,
2809,Medical Assistance,0.9525,1.0048,1.0387,1.0742,
2810,Medicaid,0.9026,0.8555,0.9617,1.0135,
2811,Other Medical Assistance,1.132,1.5187,1.288,1.2807,
2812,Champus / TRICARE,0.7928,0.9165,0.9638,1.1231,
2813,Uninsured (Included in Non-Government),1.3758,1.1774,1.2236,1.0934,
2814,Total Case Mix Index,1.3959,1.4031,1.4442,1.4504,
2815,UNCOMPENSATED CARE,,,,,
2816,Charity Care,"$9,288,125","$4,572,101","$5,078,551","$5,153,062",
2817,Bad Debts,"$14,879,933","$21,944,891","$27,064,697","$21,328,662",
